name,lat,lon,elev,x_m,y_m
O105,50.377230,-4.726890,146.400000,875.656411,425.881408
O106,50.376020,-4.726210,147.600000,923.996363,291.260155
O107,50.375120,-4.726780,141.100000,883.511503,191.115634
O108,50.374000,-4.727600,153.400000,825.264380,66.490553
O109,50.372820,-4.725950,152.100000,942.534170,-64.781365
O110S,50.371890,-4.723110,157.500000,1144.367492,-168.217071
O111,50.371090,-4.723140,176.100000,1142.254858,-257.228697
O112S,50.369980,-4.724460,170.200000,1048.476441,-380.751081
O113S,50.369710,-4.725180,165.100000,997.315708,-410.802231
O114,50.368980,-4.723070,162.600000,1147.280126,-491.994524
O115,50.368150,-4.721190,148.100000,1280.906412,-584.312934
O116,50.368140,-4.718640,128.500000,1462.128003,-585.378623
O117,50.369220,-4.715580,127.700000,1679.555454,-465.149065
O118,50.371800,-4.713750,139.500000,1809.507321,-178.045246
O119,50.371710,-4.716940,165.600000,1582.823448,-188.131639
O120,50.370100,-4.719760,162.400000,1382.475806,-367.322720
O121S,50.371390,-4.721920,174.100000,1228.943694,-223.830093
O122,50.368680,-4.723200,152.300000,1138.048730,-525.375694
O123S,50.370350,-4.727150,130.590000,857.306435,-339.617836
O124,50.370460,-4.714320,134.300000,1769.051968,-327.152626
O125,50.368860,-4.716910,130.700000,1585.050243,-505.233221
R101T,50.389940,-4.743310,174.000000,-290.966097,1839.983817
R104T,50.346860,-4.743290,69.700000,-289.807639,-2953.265697
R107T,50.367040,-4.763990,213.790000,-1760.809564,-707.678007
R110T,50.365240,-4.761080,199.600000,-1554.058066,-908.017744
R113T,50.362820,-4.758620,191.600000,-1379.292279,-1177.324712
R116T,50.361110,-4.754700,159.490000,-1100.717322,-1367.651114
R119T,50.359910,-4.754440,153.400000,-1082.264408,-1501.171496
R122T,50.357330,-4.751280,133.000000,-857.699753,-1788.273216
R128T,50.358670,-4.767980,223.500000,-2044.733738,-1638.854407
R131T,50.358670,-4.767950,225.500000,-2042.601300,-1638.855230
R134T,50.340980,-4.750520,94.000000,-803.952433,-3607.442519
R137T,50.370330,-4.751060,178.300000,-841.831431,-341.845598
R140T,50.378260,-4.708280,163.200000,2197.916399,540.867295
