date time x_m y_m elev nan error_x error_y error_z name nan
20221125 14173400 -105.602 21.922 3.729 0.0 0.03 0.01 0.19 140 0
20221125 17025000 -77.175 222.196 3.733 0.0 0.01 0.00 0.17 143 0
20221127 17423400 -183.765 88.682 3.714 0.0 0.01 0.01 0.27 144 0
20221129 20404200 64.940 -22.585 3.831 0.0 0.00 0.00 0.08 145 0
20221125 14233100 -148.236 55.302 3.816 0.0 0.02 0.02 0.16 146 0
20221127 13372500 -212.188 88.683 3.753 0.0 0.01 0.01 0.38 147 0
20221129 375000 -27.438 -100.470 3.948 0.0 0.01 0.01 0.13 148 0
20221127 6132600 -205.086 -22.581 3.987 0.0 0.01 0.01 0.36 149 0
20221129 3470900 -169.555 33.050 3.841 0.0 0.01 0.01 0.30 150 0
20221127 8361700 -340.091 110.943 3.650 0.0 0.01 0.01 0.31 151 0
20221129 223900 -276.143 44.181 3.768 0.0 0.02 0.02 0.41 152 0
20221128 20050800 64.932 633.873 3.621 0.0 0.02 0.01 0.35 153 0
20221127 14300600 -197.980 -11.455 3.768 0.0 0.01 0.01 0.33 154 0
20221129 5421000 -27.436 288.954 4.017 0.0 0.00 0.00 0.15 155 0
20221129 5510400 -261.932 21.927 3.606 0.0 0.00 0.00 0.18 156 0
20221125 14530500 8.093 188.817 3.689 0.0 0.01 0.01 0.32 157 0
20221129 3265000 -226.399 110.937 3.885 0.0 0.01 0.01 0.12 159 0
20221129 6041800 -432.464 133.202 4.036 0.0 0.01 0.01 0.19 160 0
20221128 5161600 -332.988 66.437 3.846 0.0 0.01 0.01 0.23 161 0
20221128 23510800 -148.232 199.945 3.948 0.0 0.01 0.00 0.09 162 0
20221201 15230400 249.676 389.098 4.434 0.0 0.00 0.00 0.02 163 0
20221127 11535100 -169.555 10.797 3.655 0.0 0.00 0.00 0.16 164 0
20221129 16030200 -70.069 255.575 3.987 0.0 0.00 0.00 0.05 165 0
20221129 5172400 -190.875 -44.834 3.670 0.0 0.00 0.00 0.07 166 0
20221129 6185100 -247.720 33.053 3.855 0.0 0.01 0.01 0.33 167 0
20221125 15563100 -190.875 -33.708 3.655 0.0 0.01 0.01 0.23 168 0
20221127 14135100 -340.093 88.690 3.475 0.0 0.00 0.00 0.08 169 0
20221125 21543800 -148.236 55.302 3.533 0.0 0.01 0.07 0.36 170 0
20221127 5230400 -247.720 21.926 3.724 0.0 0.01 0.01 0.34 171 0
20221128 20265600 -34.545 -233.986 3.865 0.0 0.01 0.01 0.32 172 0
20221127 21600 -169.555 33.050 3.538 0.0 0.01 0.00 0.20 173 0
20221129 4202000 -27.436 188.817 3.606 0.0 0.00 0.00 0.14 174 0
20221127 7392200 -155.336 266.704 3.938 0.0 0.00 0.00 0.13 175 0
20221127 5100000 -404.047 55.315 3.807 0.0 0.00 0.00 0.04 176 0
20221127 23081500 -261.932 21.927 3.636 0.0 0.00 0.00 0.17 177 0
20221125 16561300 -34.542 110.932 3.738 0.0 0.01 0.01 0.35 178 0
20221130 193700 -155.339 166.566 3.665 0.0 0.00 0.00 0.07 179 0
20221126 1304100 72.045 55.300 4.266 0.0 0.03 0.02 0.37 180 0
20221127 15421900 -13.225 211.069 3.704 0.0 0.01 0.01 0.33 181 0
20221127 5355700 -247.722 -22.579 3.948 0.0 0.00 0.00 0.02 182 0
20221127 8545300 -98.494 110.933 3.597 0.0 0.01 0.01 0.29 183 0
20221127 23480000 -254.824 55.306 3.738 0.0 0.01 0.01 0.33 184 0
20221129 5395900 -141.129 122.060 3.777 0.0 0.02 0.02 0.39 185 0
20221125 15492000 -27.436 144.311 3.924 0.0 0.01 0.01 0.33 186 0
20221125 17242300 -6.119 110.932 3.748 0.0 0.01 0.01 0.23 187 0
20221128 2031300 -318.778 33.057 3.787 0.0 0.01 0.01 0.36 188 0
20221125 16562800 36.515 110.932 3.611 0.0 0.01 0.01 0.40 189 0
20221125 16281900 -27.436 166.564 3.978 0.0 0.00 0.00 0.05 190 0
20221129 19172500 50.728 -22.585 3.792 0.0 0.00 0.00 0.07 191 0
20221128 22171900 -247.717 88.685 3.689 0.0 0.01 0.01 0.32 192 0
20221126 18193300 -77.176 177.691 3.768 0.0 0.01 0.01 0.40 193 0
20221125 17204500 -20.331 99.805 3.812 0.0 0.00 0.00 0.04 194 0
20221128 22105300 -389.833 88.693 3.802 0.0 0.00 0.00 0.04 195 0
20221128 170500 -297.460 44.182 3.646 0.0 0.01 0.00 0.16 196 0
20221129 3125800 -261.929 77.559 3.704 0.0 0.00 0.00 0.15 197 0
20221127 11324800 -226.397 155.442 3.973 0.0 0.00 0.00 0.11 198 0
20221125 15165100 -141.131 44.175 3.616 0.0 0.00 0.00 0.12 199 0
20221126 1372400 -155.344 10.797 3.731 0.0 0.00 0.00 0.04 200 0
20221127 13312100 -105.601 77.554 3.475 0.0 0.01 0.01 0.24 201 0
20221130 20010700 -169.548 255.578 4.056 0.0 0.00 0.00 0.05 202 0
20221127 10513600 0.987 311.207 3.909 0.0 0.00 0.00 0.11 203 0
20221129 6200200 -347.198 99.817 3.865 0.0 0.00 0.00 0.09 204 0
20221126 16275500 -176.656 166.567 3.709 0.0 0.01 0.01 0.50 205 0
20221129 6044600 -112.702 277.829 4.002 0.0 0.00 0.00 0.12 206 0
20221128 23575500 -226.402 33.052 3.646 0.0 0.00 0.00 0.09 207 0
20221125 15391200 29.410 133.185 3.899 0.0 0.00 0.00 0.21 208 0
20221128 3400400 -183.768 -11.455 3.841 0.0 0.01 0.01 0.27 209 0
20221126 20053000 -190.872 44.177 3.636 0.0 0.00 0.00 0.13 210 0
20221128 593800 -20.331 166.564 3.743 0.0 0.01 0.01 0.30 211 0
20221127 22423100 -226.403 10.799 3.846 0.0 0.01 0.01 0.27 212 0
20221129 3391700 -240.614 33.052 3.758 0.0 0.01 0.01 0.30 213 0
20221125 14011100 -20.331 88.679 3.802 0.0 0.01 0.01 0.28 214 0
20221129 4020300 -155.343 33.049 3.646 0.0 0.01 0.01 0.24 215 0
20221201 19403500 -361.412 55.312 3.987 0.0 0.01 0.00 0.16 216 0
20221126 23174500 -396.939 88.694 4.017 0.0 0.00 0.00 0.06 218 0
20221127 6112500 -276.142 55.307 3.724 0.0 0.01 0.00 0.27 219 0
20221201 1470600 -34.543 88.679 3.782 0.0 0.00 0.00 0.14 220 0
20221125 14242700 -169.557 -33.709 3.748 0.0 0.03 0.02 0.16 221 0
20221127 10553200 -290.345 211.077 4.036 0.0 0.00 0.00 0.08 222 0
20221128 21584800 -375.623 66.440 3.826 0.0 0.00 0.00 0.02 223 0
20221125 23312100 -311.674 10.803 3.675 0.0 0.00 0.00 0.05 224 0
20221127 225900 -247.714 155.443 3.616 0.0 0.00 0.00 0.15 225 0
20221128 4564100 -84.278 411.345 3.650 0.0 0.01 0.01 0.41 226 0
20221127 7075900 -318.774 99.815 4.104 0.0 0.00 0.00 0.02 227 0
20221127 6020100 -183.767 21.924 3.890 0.0 0.00 0.00 0.11 228 0
20221127 14545800 -311.669 99.815 3.675 0.0 0.00 0.00 0.12 229 0
20221127 17243300 -119.808 300.082 3.987 0.0 0.01 0.00 0.23 230 0
20221129 6003200 -425.360 110.949 4.100 0.0 0.01 0.01 0.03 231 0
20221128 5214200 -290.355 21.929 3.680 0.0 0.00 0.00 0.10 232 0
20221125 15542700 -134.028 -55.962 3.772 0.0 0.01 0.01 0.22 233 0
20221128 350000 -411.154 44.189 3.807 0.0 0.00 0.00 0.03 234 0
20221127 3361600 -55.860 66.427 3.660 0.0 0.06 2.45 0.36 235 0
20221129 17455700 50.728 -33.711 3.812 0.0 0.00 0.00 0.06 236 0
20221127 2305600 -183.765 77.556 3.748 0.0 0.02 0.03 0.34 237 0
20221127 7254500 -411.154 44.189 3.802 0.0 0.00 0.00 0.04 238 0
20221129 5255900 -77.179 -22.584 3.665 0.0 0.01 0.01 0.37 239 0
20221129 6090100 -254.828 -22.579 3.768 0.0 0.01 0.01 0.21 240 0
20221129 5005400 -162.451 -44.835 3.675 0.0 0.00 0.00 0.11 241 0
20221127 20094500 -240.613 55.305 3.729 0.0 0.01 0.01 0.35 242 0
